,ID,PredictedProb
186,388,0.27
187,389,0.95
188,391,0.68
189,392,0.63
190,395,0.88
191,396,0.78
192,397,0.88
193,399,0.64
194,404,0.89
195,407,0.41
196,409,0.89
197,410,0.81
198,413,0.75
199,414,0.69
200,416,0.75
201,418,0.63
202,419,0.77
203,420,0.9
204,422,0.88
205,423,0.72
206,427,0.65
207,429,0.97
208,430,0.59
209,431,0.79
210,432,0.58
211,433,0.78
212,434,0.54
213,436,0.77
214,437,0.9
215,451,0.81
216,452,0.72
217,454,0.72
218,457,0.84
219,458,0.85
220,460,0.67
221,461,0.94
222,462,0.86
223,463,0.85
224,465,0.86
225,467,0.92
226,473,0.79
227,474,0.9
228,480,0.26
229,481,0.78
230,483,0.85
231,484,0.45
232,485,0.46
233,487,0.74
234,490,0.92
235,491,0.85
236,492,0.53
237,496,0.79
238,497,0.66
239,498,0.8
240,499,0.78
241,501,0.86
242,502,0.75
243,503,0.79
244,506,0.88
245,507,0.77
246,508,0.46
247,509,0.76
248,510,0.9
249,511,0.8
250,513,0.67
251,515,0.84
252,521,0.61
253,522,0.81
254,523,0.87
255,525,0.86
256,529,0.77
257,530,0.82
258,531,0.69
259,533,0.74
260,534,0.62
261,535,0.96
262,537,0.72
263,541,0.68
264,542,0.81
265,543,0.44
266,544,0.83
267,545,0.65
268,549,0.9
269,550,0.79
270,551,0.81
271,553,0.6
272,556,0.7
273,558,0.44
274,560,0.73
275,563,0.69
276,564,0.88
277,567,0.7
278,572,0.67
279,573,0.89
280,577,0.93
281,583,0.86
282,584,0.81
283,585,0.79
284,586,0.76
285,588,0.89
286,590,0.82
287,591,0.56
288,593,0.89
289,594,0.7
290,597,0.82
291,598,0.77
292,599,0.86
293,603,0.75
294,604,0.73
295,606,0.93
296,607,0.59
297,609,0.72
298,614,0.7
299,615,0.8
300,616,0.61
301,617,0.67
302,618,0.85
303,619,0.83
304,620,0.67
305,623,0.65
306,625,0.71
307,626,0.77
308,627,0.88
309,632,0.93
310,633,0.56
311,634,0.83
312,635,0.69
313,636,0.77
314,637,0.82
315,638,0.7
316,639,0.73
317,642,0.56
318,643,0.89
319,644,0.93
320,645,0.33
321,646,0.91
322,650,0.96
323,653,0.71
324,654,0.73
325,655,0.91
326,656,0.92
327,657,0.85
328,658,0.7
329,660,0.46
330,661,0.88
331,668,0.91
332,669,0.74
333,671,0.78
334,672,0.8
335,676,0.98
336,678,0.85
337,680,0.82
338,682,0.58
339,684,0.88
340,685,0.92
341,686,0.53
342,687,0.59
343,694,0.72
344,696,0.67
345,697,0.58
346,699,0.65
347,702,0.87
348,707,0.9
349,708,0.92
350,712,0.87
351,717,0.92
352,718,0.94
353,720,0.69
354,721,0.75
355,723,0.91
356,724,0.75
357,727,0.39
358,728,0.34
359,731,0.95
360,733,0.8
361,735,0.89
362,737,0.76
363,738,0.72
364,740,0.65
365,742,0.85
366,743,0.81
367,745,0.74
368,746,0.84
369,747,0.68
370,748,0.97
371,749,0.81
372,750,0.92
373,753,0.75
374,755,0.94
375,756,0.78
376,758,0.51
377,760,0.71
378,762,0.82
379,763,0.86
380,765,0.85
381,767,0.85
382,768,0.98
383,770,0.61
384,772,0.83
385,773,0.82
386,774,0.89
387,775,0.61
388,777,0.49
389,778,0.9
390,780,0.5
391,782,0.75
392,783,0.9
393,786,0.54
394,787,0.96
395,788,0.76
396,789,0.73
397,790,0.79
398,793,0.72
399,795,0.84
400,807,0.72
401,809,0.66
402,810,0.63
403,811,0.76
404,813,0.78
405,815,0.62
406,816,0.71
407,821,0.75
408,823,0.97
409,825,0.88
410,826,0.85
411,827,0.85
412,832,0.88
413,833,0.69
414,834,0.81
415,837,0.82
416,838,0.97
417,839,0.3
418,843,0.57
419,844,0.78
420,845,0.66
421,846,0.73
422,848,0.74
423,850,0.64
424,851,0.89
425,852,0.65
426,855,0.65
427,856,0.86
428,861,0.79
429,862,0.85
430,863,0.85
431,864,0.72
432,865,0.9
433,867,0.67
434,868,0.86
435,869,0.93
436,873,0.65
437,875,0.75
438,877,0.88
439,879,0.73
440,880,0.88
441,881,0.77
442,882,0.55
443,883,0.95
444,887,0.73
445,888,0.56
446,890,0.87
447,897,0.83
448,900,0.89
449,902,0.78
450,904,0.73
451,906,0.67
452,910,0.76
453,913,0.69
454,914,0.7
455,915,0.68
456,918,0.86
457,920,0.91
458,923,0.79
459,926,0.83
460,927,0.71
461,929,0.46
462,930,0.82
463,931,0.67
464,932,0.86
465,933,0.74
466,934,0.79
467,936,0.72
468,939,0.65
469,941,0.68
470,943,0.6
471,947,0.56
472,948,0.66
473,949,0.86
474,950,0.77
475,951,0.8
476,952,0.59
477,953,0.94
478,956,0.78
479,961,0.61
480,962,0.72
481,968,0.83
482,971,0.89
483,972,0.86
484,977,0.97
485,981,0.82
486,985,0.88
487,987,0.63
488,989,0.95
489,993,0.92
490,994,0.57
491,997,0.95
492,998,0.57
493,999,0.71
494,1002,0.85
495,1003,0.94
496,1004,0.92
497,1005,0.76
498,1007,0.74
499,1008,0.93
500,1014,0.97
501,1016,0.84
502,1021,0.77
503,1023,0.95
504,1026,0.82
505,1028,0.83
506,1029,0.73
507,1030,0.75
508,1031,0.82
509,1032,0.84
510,1033,0.95
511,1036,0.72
512,1037,0.86
513,1039,0.72
514,1046,0.98
515,1047,0.9
516,1049,1.0
517,1055,0.87
518,1057,0.64
519,1059,0.65
520,1060,0.72
521,1062,0.65
522,1063,0.77
523,1066,0.83
524,1067,0.94
525,1068,0.39
526,1070,0.87
527,1071,0.78
528,1073,0.73
529,1074,0.78
530,1075,0.86
531,1076,0.65
532,1077,0.96
533,1079,0.62
534,1083,0.6888834951456312
535,1085,0.92
536,1087,0.69
537,1088,0.56
538,1089,0.64
539,1092,0.78
540,1095,0.74
541,1104,0.89
542,1106,0.91
543,1108,0.69
544,1110,0.7
545,1117,0.76
546,1118,0.69
547,1119,0.9
548,1121,0.82
549,1122,0.74
550,1124,0.84
551,1125,0.64
552,1126,0.75
553,1128,0.89
554,1129,0.54
555,1131,0.2
556,1132,0.93
557,1133,0.69
558,1134,0.59
559,1137,0.95
560,1138,0.5
561,1139,0.68
562,1140,0.61
563,1141,0.82
564,1143,0.83
565,1144,0.85
566,1145,0.68
567,1146,0.91
568,1147,0.85
569,1149,0.9
570,1151,0.69
571,1154,0.76
572,1156,0.43
573,1158,0.78
574,1165,0.7
575,1166,0.64
576,1167,0.59
577,1168,0.82
578,1169,0.59
579,1171,0.75
580,1173,0.55
581,1175,0.5133333333333333
582,1181,0.31
583,1182,0.54
584,1184,0.85
585,1187,0.76
586,1189,0.95
587,1190,0.67
588,1193,0.68
589,1194,0.84
590,1196,0.86
591,1202,0.75
592,1203,0.68
593,1206,0.79
594,1209,0.96
595,1211,0.39
596,1212,0.64
597,1215,0.76
598,1216,0.63
599,1220,0.77
600,1222,0.95
601,1223,0.86
602,1224,0.77
603,1227,0.96
604,1229,0.65
605,1230,0.46
606,1233,0.9
607,1236,0.77
608,1242,0.78
609,1245,0.81
610,1246,0.97
611,1249,0.76
612,1250,0.73
613,1253,0.97
614,1258,0.79
615,1259,0.64
616,1262,0.88
617,1263,0.91
618,1265,0.94
619,1266,0.82
620,1267,0.9
621,1268,0.86
622,1269,0.77
623,1270,0.78
624,1271,0.7
625,1272,0.95
626,1276,0.9
627,1277,0.85
628,1279,0.76
629,1280,0.73
630,1283,0.74
631,1285,0.85
632,1286,0.84
633,1290,0.91
634,1293,0.74
635,1295,0.52
636,1297,0.91
637,1299,0.93
638,1300,0.9
639,1301,0.82
640,1302,0.93
641,1303,0.89
642,1304,0.83
643,1305,0.82
644,1306,0.82
645,1307,0.8
646,1308,0.95
647,1309,0.67
648,1312,0.65
649,1313,0.77
650,1314,0.47
651,1316,0.67
652,1318,0.64
653,1319,0.87
654,1320,0.74
655,1322,0.93
656,1323,0.66
657,1325,0.71
658,1329,0.73
659,1330,0.75
660,1334,0.56
661,1337,0.92
662,1340,0.47
663,1341,0.54
664,1342,0.66
665,1347,0.81
666,1349,0.62
667,1350,0.72
668,1355,0.82
669,1356,0.68
670,1357,0.51
671,1358,0.74
672,1359,0.86
673,1361,0.55
674,1363,0.71
675,1366,0.77
676,1367,0.84
677,1370,0.95
678,1375,0.88
679,1377,0.83
680,1379,0.82
681,1381,0.6
682,1382,0.9
683,1385,0.61
684,1387,0.84
685,1389,0.83
686,1392,0.9
687,1393,0.57
688,1395,0.87
689,1396,0.81
690,1399,0.41
691,1400,0.31
692,1401,0.53
693,1402,0.98
694,1405,0.72
695,1407,0.6
696,1409,0.95
697,1413,0.46
698,1414,0.73
699,1415,0.76
700,1417,0.54
701,1421,0.45
702,1422,0.88
703,1423,0.51
704,1425,0.81
705,1426,0.39
706,1428,0.74
707,1429,0.85
708,1430,0.39
709,1431,0.8
710,1433,0.89
711,1435,0.91
712,1436,0.72
713,1438,0.76
714,1439,0.64
715,1442,0.94
716,1448,0.85
717,1449,0.74
718,1451,0.73
719,1453,0.95
720,1455,0.85
721,1456,0.52
722,1458,0.9
723,1459,0.86
724,1463,0.89
725,1466,0.63
726,1468,0.96
727,1471,0.75
728,1472,0.82
729,1473,0.54
730,1474,0.99
731,1476,0.66
732,1477,0.65
733,1478,0.83
734,1479,0.8
735,1481,0.59
736,1482,0.92
737,1487,0.68
738,1490,0.73
739,1493,0.7
740,1494,0.88
741,1495,0.9
742,1496,0.91
743,1497,0.7
744,1498,0.89
745,1499,0.78
746,1500,0.8
747,1505,0.82
748,1507,0.77
749,1508,0.78
750,1510,0.89
751,1511,0.7
752,1513,0.22
753,1514,0.68
754,1518,0.89
755,1519,0.52
756,1520,0.75
757,1522,0.79
758,1523,0.69
759,1524,0.69
760,1527,0.92
761,1528,0.68
762,1529,0.69
763,1530,0.89
764,1532,0.64
765,1534,0.59
766,1536,0.96
767,1537,0.7
768,1540,0.79
769,1543,0.74
770,1546,0.91
771,1549,0.6
772,1553,0.59
773,1558,0.87
774,1560,0.87
775,1561,0.79
776,1562,0.57
777,1565,0.74
778,1573,0.65
779,1576,0.88
780,1577,0.98
781,1579,0.53
782,1580,0.88
783,1581,0.82
784,1582,0.55
785,1584,0.89
786,1586,0.57
787,1588,0.72
788,1589,0.41
789,1595,0.66
790,1598,0.46
791,1599,0.96
792,1600,0.72
793,1605,0.69
794,1609,0.67
795,1610,0.73
796,1615,0.67
797,1617,0.87
798,1619,0.83
799,1621,0.88
800,1622,0.79
801,1628,0.82
802,1629,0.91
803,1630,0.5
804,1631,0.73
805,1633,0.58
806,1636,0.75
807,1637,0.75
808,1638,0.8
809,1643,0.93
810,1644,0.71
811,1645,0.9
812,1646,0.55
813,1647,0.88
814,1648,0.75
815,1650,0.66
816,1651,0.63
817,1652,0.9
818,1654,0.72
819,1655,0.93
820,1657,0.88
821,1658,0.87
822,1663,0.71
823,1665,0.94
824,1666,0.78
825,1669,0.98
826,1675,0.92
827,1678,0.86
828,1679,0.72
829,1680,0.73
830,1681,0.73
831,1684,0.65
832,1687,0.35
833,1688,0.77
834,1692,0.8
835,1694,0.83
836,1695,0.39
837,1696,0.92
838,1697,0.53
839,1698,0.7
840,1699,0.78
841,1700,0.66
842,1701,0.81
843,1704,0.59
844,1705,0.7
845,1706,0.72
846,1708,0.91
847,1709,0.67
848,1712,0.42
849,1713,0.84
850,1715,0.77
851,1718,0.83
852,1720,0.76
853,1721,0.85
854,1724,0.83
855,1725,0.71
856,1726,0.54
857,1728,0.75
858,1729,0.84
859,1738,0.61
860,1739,0.88
861,1741,0.74
862,1743,0.78
863,1745,0.57
864,1750,0.66
865,1751,0.87
866,1753,0.81
867,1755,0.51
868,1757,0.54
869,1758,0.66
870,1759,0.82
871,1762,0.77
872,1763,0.6
873,1767,0.96
874,1769,0.78
875,1770,0.98
876,1778,0.79
877,1781,0.85
878,1784,0.84
879,1786,0.77
880,1787,0.81
881,1788,0.88
882,1789,0.91
883,1790,0.58
884,1794,0.48
885,1795,0.82
886,1797,0.79
887,1801,0.87
888,1802,0.75
889,1809,0.95
890,1810,0.88
891,1811,0.67
892,1816,0.92
893,1817,0.81
894,1818,0.48
895,1820,0.65
896,1821,0.68
897,1822,0.64
898,1823,0.98
899,1829,0.93
900,1833,0.91
901,1834,0.91
902,1836,0.75
903,1837,0.96
904,1839,0.86
905,1842,0.7
906,1845,0.99
907,1849,0.67
908,1851,0.85
909,1852,0.55
910,1853,0.66
911,1855,0.68
912,1856,0.76
913,1857,0.86
914,1859,0.95
915,1860,0.53
916,1861,0.87
917,1862,0.91
918,1864,0.89
919,1865,0.73
920,1869,0.83
921,1871,0.67
922,1872,0.93
923,1873,0.76
924,1874,0.65
925,1875,0.47
926,1878,0.9
927,1879,0.67
928,1880,0.54
929,1882,0.88
930,1887,0.83
931,1893,0.76
932,1896,0.94
933,1900,0.72
934,1902,0.78
935,1904,0.89
936,1906,0.63
937,1907,0.86
938,1909,0.8686666666666667
939,1911,0.74
940,1913,0.88
941,1915,0.68
942,1917,0.52
943,1918,0.58
944,1919,0.59
945,1921,0.87
946,1922,0.98
947,1923,0.85
948,1926,0.66
949,1927,0.54
950,1928,0.87
951,1929,0.86
952,1931,0.46
953,1932,0.87
954,1938,0.97
955,1940,0.48
956,1941,0.62
957,1942,0.45
958,1944,0.51
959,1948,0.62
960,1949,0.9
961,1951,0.83
962,1953,0.81
963,1954,0.7
964,1955,0.96
965,1956,0.88
966,1957,0.91
967,1958,0.96
968,1959,0.81
969,1961,0.78
970,1962,0.73
971,1965,0.66
972,1969,0.83
973,1971,0.72
974,1978,0.95
975,1982,0.87
976,1984,0.66
977,1985,0.78
978,1986,0.6
979,1987,0.7
980,1988,0.66
981,1989,0.88
982,1990,0.74
983,1991,0.99
984,1993,0.89
985,1994,0.79
986,1999,0.74
987,2000,0.69
988,2001,0.65
989,2002,0.88
990,2003,0.55
991,2004,0.59
992,2008,0.8
993,2011,0.76
994,2013,0.78
995,2017,1.0
996,2020,0.81
997,2021,0.94
998,2024,0.86
999,2026,0.52
1000,2031,0.83
1001,2035,0.77
1002,2039,0.96
1003,2040,0.85
1004,2044,0.87
1005,2045,0.94
1006,2046,0.86
1007,2047,0.71
1008,2048,0.57
1009,2052,0.75
1010,2053,0.81
1011,2054,0.52
1012,2055,0.78
1013,2058,0.7
1014,2059,0.79
1015,2060,0.48
1016,2063,0.82
1017,2064,0.66
1018,2065,0.98
1019,2066,0.77
1020,2070,0.54
1021,2073,0.91
1022,2076,0.95
1023,2077,0.55
1024,2078,0.82
1025,2082,0.83
1026,2084,0.48
1027,2086,0.89
1028,2088,0.92
1029,2090,0.97
1030,2091,0.83
1031,2095,0.71
1032,2097,0.85
1033,2101,0.87
1034,2102,0.36
1035,2105,0.6
1036,2106,0.79
1037,2107,0.87
1038,2110,0.81
1039,2113,0.91
1040,2114,0.72
1041,2115,0.71
1042,2118,0.77
1043,2119,0.76
1044,2120,0.66
1045,2122,0.72
1046,2128,0.84
1047,2129,0.67
1048,2132,0.74
1049,2136,0.86
1050,2139,0.94
1051,2140,0.61
1052,2141,0.71
1053,2142,0.81
1054,2143,0.94
1055,2146,0.54
1056,2147,0.7
1057,2148,0.79
1058,2151,0.71
1059,2153,0.9
1060,2154,0.91
1061,2156,0.34
1062,2161,0.95
1063,2162,0.93
1064,2163,0.87
1065,2164,0.75
1066,2165,0.95
1067,2168,0.92
1068,2169,0.7
1069,2175,0.87
1070,2176,0.9
1071,2177,0.86
1072,2178,0.5
1073,2182,0.78
1074,2184,0.68
1075,2191,0.6
1076,2193,0.96
1077,2194,0.77
1078,2196,0.88
1079,2198,0.77
1080,2199,0.78
1081,2200,0.81
1082,2202,0.85
1083,2209,0.91
1084,2213,0.63
1085,2217,0.9
1086,2218,0.53
1087,2224,0.66
1088,2225,0.52
1089,2231,0.85
1090,2233,0.84
1091,2234,0.93
1092,2235,0.59
1093,2237,0.94
1094,2238,0.61
1095,2240,0.7
1096,2242,0.75
1097,2244,0.63
1098,2246,0.78
1099,2247,0.42
1100,2248,0.93
1101,2249,0.99
1102,2250,0.88
1103,2252,0.69
1104,2254,0.9
1105,2257,0.81
1106,2258,0.68
1107,2262,0.6
1108,2265,0.72
1109,2268,0.95
1110,2270,0.87
1111,2280,0.93
1112,2281,0.96
1113,2283,0.88
1114,2285,0.71
1115,2289,0.92
1116,2290,0.62
1117,2291,0.73
1118,2293,0.9
1119,2294,0.73
1120,2295,0.82
1121,2300,0.9
1122,2304,0.91
1123,2307,0.52
1124,2310,0.95
1125,2312,0.91
1126,2313,0.72
1127,2318,0.8
1128,2319,0.98
1129,2322,0.59
1130,2324,0.74
1131,2326,0.92
1132,2328,0.96
1133,2331,0.74
1134,2334,0.53
1135,2335,0.72
1136,2336,0.76
1137,2339,0.89
1138,2340,0.74
1139,2341,0.97
1140,2344,1.0
1141,2349,0.66
1142,2352,0.93
1143,2353,0.74
1144,2357,0.6
1145,2362,0.79
1146,2364,0.84
1147,2365,0.7
1148,2366,0.77
1149,2367,0.73
1150,2368,0.87
1151,2370,0.94
1152,2373,0.8
1153,2375,0.4
1154,2376,0.97
1155,2377,0.74
1156,2382,0.98
1157,2384,0.64
1158,2385,0.77
1159,2388,0.95
1160,2389,0.49
1161,2390,0.92
1162,2391,0.8
1163,2393,0.79
1164,2396,0.82
1165,2397,0.8
1166,2398,0.94
1167,2399,0.76
1168,2400,0.81
1169,2401,0.74
1170,2402,0.8
1171,2404,0.55
1172,2406,0.95
1173,2408,0.77
1174,2409,0.83
1175,2410,0.8
1176,2411,0.61
1177,2413,0.62
1178,2415,0.79
1179,2417,0.74
1180,2422,0.89
1181,2423,0.43
1182,2424,0.88
1183,2426,0.79
1184,2429,0.76
1185,2430,0.82
1186,2432,0.75
1187,2433,0.69
1188,2436,0.97
1189,2437,0.79
1190,2438,0.89
1191,2439,0.76
1192,2440,0.55
1193,2444,0.75
1194,2445,0.6
1195,2446,0.44
1196,2454,0.77
1197,2455,0.68
1198,2456,0.91
1199,2458,0.41
1200,2459,0.49
1201,2460,0.58
1202,2461,0.8
1203,2462,0.75
1204,2464,0.72
1205,2465,0.88
1206,2467,0.87
1207,2468,0.86
1208,2474,0.63
1209,2480,0.65
1210,2481,0.62
1211,2484,0.69
1212,2485,0.63
1213,2486,0.79
1214,2487,0.77
1215,2491,0.75
1216,2493,0.87
1217,2496,0.8
1218,2497,0.78
1219,2501,0.81
1220,2504,0.878883495145631
1221,2505,0.74
1222,2506,0.71
1223,2508,0.9
1224,2509,0.51
1225,2513,0.65
1226,2516,0.9
1227,2520,0.74
1228,2521,0.73
1229,2523,0.77
1230,2524,0.79
1231,2526,0.9
1232,2528,0.74
1233,2529,0.85
1234,2530,0.85
1235,2531,0.86
1236,2532,0.95
1237,2536,0.68
1238,2537,0.68
1239,2540,0.87
1240,2541,0.67
1241,2542,0.81
1242,2543,0.49
1243,2546,0.66
1244,2547,0.67
1245,2550,0.71
1246,2551,0.82
1247,2555,0.8
1248,2556,0.95
1249,2558,0.84
1250,2559,0.93
1251,2560,0.74
1252,2562,0.97
1253,2563,0.62
1254,2564,0.8
1255,2565,0.42
1256,2568,0.82
1257,2569,0.82
1258,2570,0.8
1259,2572,0.82
1260,2573,0.92
1261,2574,0.34
1262,2575,0.83
1263,2576,0.68
1264,2582,0.87
1265,2583,0.55
1266,2586,0.82
1267,2590,0.65
1268,2591,0.8
1269,2592,0.98
1270,2593,0.91
1271,2595,0.82
1272,2596,0.34
1273,2597,0.85
1274,2598,0.79
1275,2600,0.88
1276,2601,0.87
1277,2603,0.45
1278,2604,0.7
1279,2605,0.96
1280,2606,0.99
1281,2608,0.76
1282,2609,0.67
1283,2610,0.7
1284,2611,0.39
1285,2614,0.95
1286,2615,0.82
1287,2616,0.85
1288,2618,0.61
1289,2620,0.51
1290,2623,0.34
1291,2624,0.93
1292,2625,0.73
1293,2627,0.61
1294,2629,0.83
1295,2630,0.85
1296,2631,0.95
1297,2632,0.93
1298,2633,0.78
1299,2634,0.85
1300,2635,0.63
1301,2636,0.8
1302,2637,0.79
1303,2638,0.99
1304,2641,0.62
1305,2643,0.56
1306,2644,0.43
1307,2647,0.91
1308,2648,0.81
1309,2649,0.86
1310,2651,0.5
1311,2654,0.78
1312,2655,0.68
1313,2656,0.92
1314,2659,0.57
1315,2661,0.73
1316,2662,0.46
1317,2664,0.97
1318,2665,0.61
1319,2666,0.93
1320,2667,0.88
1321,2668,0.89
1322,2671,0.35
1323,2673,0.8
1324,2676,0.64
1325,2678,0.74
1326,2680,0.89
1327,2681,0.78
1328,2683,0.59
1329,2687,0.52
1330,2688,0.92
1331,2689,0.55
1332,2691,0.77
1333,2693,0.87
1334,2695,0.84
1335,2697,0.81
1336,2699,0.78
1337,2701,0.62
1338,2702,0.77
1339,2703,0.79
1340,2706,0.85
1341,2707,0.83
1342,2708,0.92
1343,2709,0.98
1344,2714,0.94
1345,2715,0.62
1346,2716,0.75
1347,2717,0.91
1348,2719,0.7
1349,2721,0.86
1350,2722,0.89
1351,2723,0.66
1352,2724,0.44
1353,2727,0.97
1354,2730,0.74
1355,2731,0.72
1356,2736,0.93
1357,2738,0.85
1358,2740,0.95
1359,2744,0.84
1360,2745,0.53
1361,2748,0.73
1362,2749,0.49
1363,2750,0.57
1364,2751,0.3
1365,2752,0.82
1366,2754,0.77
1367,2755,0.91
1368,2756,0.92
1369,2757,0.98
1370,2758,0.59
1371,2759,0.8
1372,2760,0.98
1373,2761,0.45
1374,2762,0.81
1375,2763,0.68
1376,2764,0.62
1377,2765,0.79
1378,2768,0.65
1379,2769,0.62
1380,2770,0.51
1381,2776,0.93
1382,2778,0.98
1383,2788,0.8
1384,2789,0.67
1385,2791,0.76
1386,2792,0.56
1387,2793,0.94
1388,2797,0.89
1389,2799,0.955
1390,2800,0.91
1391,2801,0.68
1392,2805,0.9
1393,2806,0.61
1394,2807,0.38
1395,2808,0.75
1396,2811,0.94
1397,2820,0.87
1398,2822,0.87
1399,2824,0.96
1400,2826,0.86
1401,2827,0.7
1402,2828,0.76
1403,2829,0.69
1404,2832,0.69
1405,2835,0.98
1406,2836,0.87
1407,2839,0.86
1408,2840,0.87
1409,2841,0.75
1410,2843,0.82
1411,2849,0.42
1412,2850,0.7
1413,2854,0.76
1414,2856,0.65
1415,2857,0.94
1416,2859,0.74
1417,2860,0.95
1418,2863,0.94
1419,2864,0.65
1420,2865,0.65
1421,2870,0.81
1422,2871,0.64
1423,2872,0.7
1424,2873,0.44
1425,2874,0.91
1426,2876,0.93
1427,2877,0.62
1428,2878,0.9
1429,2880,0.79
1430,2882,0.79
1431,2884,0.55
1432,2885,0.65
1433,2886,0.53
1434,2887,0.78
1435,2894,0.74
1436,2897,0.69
1437,2900,0.74
1438,2903,0.86
1439,2904,0.98
1440,2906,0.72
1441,2908,0.84
1442,2909,0.72
1443,2910,0.58
1444,2911,0.61
1445,2912,0.77
1446,2913,0.82
1447,2915,0.62
1448,2916,0.72
1449,2918,0.61
1450,2924,0.64
1451,2925,0.82
1452,2928,0.87
1453,2929,0.46
1454,2934,0.88
1455,2935,0.66
1456,2938,0.82
1457,2940,0.7
1458,2941,0.76
1459,2942,0.83
1460,2944,0.87
1461,2946,0.85
1462,2947,0.55
1463,2948,0.76
1464,2950,0.71
1465,2952,0.92
1466,2953,0.76
1467,2954,0.84
1468,2956,0.8
1469,2958,0.68
1470,2959,0.46
1471,2961,0.91
1472,2963,0.55
1473,2965,0.66
1474,2967,0.85
1475,2971,0.72
1476,2973,0.98
1477,2974,0.69
1478,2980,0.76
1479,2982,0.73
1480,2983,0.49
1481,2986,0.86
1482,2987,0.77
1483,2988,0.82
1484,2993,0.93
1485,2995,0.63
1486,2998,0.72
1487,3003,0.86
1488,3005,0.92
1489,3006,0.66
1490,3007,0.7485476190476191
1491,3011,0.84
1492,3013,0.89
1493,3014,0.59
1494,3019,0.71
1495,3020,0.9
1496,3022,0.84
1497,3023,0.52
1498,3024,0.81
1499,3025,0.76
1500,3027,0.83
1501,3029,0.84
1502,3030,0.75
1503,3031,0.91
1504,3032,0.9
1505,3033,0.64
1506,3037,0.88
1507,3041,0.51
1508,3042,0.81
1509,3044,0.82
1510,3045,0.8
1511,3048,0.72
1512,3049,0.92
1513,3053,0.92
1514,3055,0.73
1515,3057,0.86
1516,3058,0.66
1517,3059,0.78
1518,3060,0.74
1519,3061,0.78
1520,3063,0.86
1521,3064,0.9
1522,3065,0.71
1523,3066,0.86
1524,3067,0.66
1525,3068,0.89
1526,3069,0.86
1527,3070,0.95
1528,3071,0.94
1529,3072,0.88
1530,3075,0.89
1531,3077,0.75
1532,3080,0.81
1533,3081,0.93
1534,3082,0.76
1535,3083,0.97
1536,3086,0.9
1537,3089,0.71
1538,3090,0.86
1539,3091,0.96
1540,3092,0.74
1541,3093,0.81
1542,3094,0.93
